Word,Count
syracuse,228
dromio,219
antipholus,215
ephesus,163
sir,110
him,108
will,91
adriana,88
what,81
her,71
from,68
thee,65
no,59
thy,59
am,57
man,57
did,55
luciana,55
she,52
here,51
come,48
go,46
master,46
chain,46
would,45
now,45
was,43
home,42
know,42
then,41
duke,39
us,39
ill,39
had,39
angelo,39
enter,38
there,37
how,37
when,35
see,35
hath,34
why,34
were,34
wife,34
them,34
an,34
one,33
let,33
more,32
well,32
say,31
they,31
within,31
some,31
these,29
time,29
where,28
good,28
husband,28
upon,27
tell,27
mistress,27
their,26
out,26
money,26
solinus,25
merchant,25
till,25
make,25
shall,25
house,25
officer,25
aegeon,24
too,24
mine,24
sister,24
mad,24
may,23
think,23
which,22
art,22
bear,21
like,21
dinner,21
who,19
yet,19
gold,19
nor,19
never,19
any,18
give,18
such,18
love,18
take,18
sent,18
second,18
other,17
nay,17
again,17
than,17
long,17
two,17
much,17
being,17
life,17
villain,17
tis,17
pray,17
ay,17
since,16
name,16
doth,16
should,16
aemelia,16
both,15
could,15
made,15
came,15
bound,15
thus,15
against,15
get,15
exit,15
today,15
courtezan,15
end,14
therefore,14
speak,14
gave,14
must,14
break,14
day,14
exeunt,14
away,14
comes,14
fetch,14
hear,14
before,13
hour,13
saw,13
none,13
own,13
hast,13
face,13
sure,13
hand,13
fair,13
call,13
most,13
up,12
though,12
can,12
town,12
gone,12
door,12
nothing,12
didst,12
quoth,12
hence,12
even,12
scene,11
been,11
marks,11
unto,11
left,11
poor,11
myself,11
men,11
brother,11
mart,11
first,11
mean,11
merry,11
eye,11
theres,11
dost,11
sweet,11
thyself,11
cannot,10
whom,10
soon,10
very,10
light,10
welcome,10
place,10
word,10
forth,10
without,10
slave,10
hold,10
look,10
marry,10
else,10
deny,10
reason,10
wrong,10
pinch,10
god,10
heart,10
doors,10
ducats,10
death,9
witness,9
woman,9
great,9
stay,9
dine,9
pay,9
ears,9
blows,9
took,9
thats,9
answer,9
wherefore,9
hair,9
false,9
balthazar,9
bring,9
goldsmith,9
ring,9
thousand,8
leave,8
old,8
strange,8
hope,8
eyes,8
sake,8
help,8
sum,8
lord,8
keep,8
himself,8
charge,8
neither,8
hes,8
still,8
bid,8
grace,8
wit,8
bed,8
jest,8
use,8
ass,8
put,8
met,8
luce,8
besides,8
bind,8
syracusian,7
words,7
epidamnum,7
brought,7
return,7
fear,7
seek,7
ship,7
ere,7
meet,7
five,7
part,7
wind,7
case,7
might,7
find,7
buy,7
centaur,7
about,7
please,7
down,7
true,7
meat,7
hie,7
patience,7
send,7
shame,7
lost,7
whose,7
dined,7
neer,7
together,7
gentle,7
suit,7
into,7
abbess,7
abbey,7
looks,6
done,6
world,6
care,6
safe,6
whilst,6
either,6
straight,6
corinth,6
thought,6
those,6
far,6
gods,6
soul,6
another,6
save,6
years,6
company,6
live,6
lest,6
walk,6
present,6
lose,6
drop,6
because,6
fast,6
pate,6
stays,6
mind,6
liberty,6
tongue,6
beat,6
back,6
beating,6
hither,6
once,6
better,6
dear,6
same,6
breath,6
cheer,6
lockd,6
street,6
stand,6
draw,6
yourself,6
claim,6
way,6
rope,6
arrest,6
arrested,6
worse,6
friend,6
rage,6
shut,6
son,6
act,5
gaoler,5
plead,5
unless,5
die,5
sun,5
cause,5
aboard,5
warrant,5
went,5
three,5
bark,5
ii,5
many,5
humour,5
fellow,5
cold,5
last,5
thine,5
fault,5
wilt,5
hands,5
body,5
patient,5
sea,5
masters,5
obey,5
urging,5
told,5
feel,5
withal,5
burn,5
due,5
thank,5
beaten,5
holy,5
head,5
fie,5
pale,5
promised,5
others,5
hours,5
sport,5
every,5
bald,5
signior,5
heres,5
owe,5
calld,5
crow,5
depart,5
porpentine,5
night,5
run,5
ran,5
purse,5
devil,5
debt,5
aemilia,5
justice,5
late,4
lives,4
pity,4
ourselves,4
bay,4
goods,4
hundred,4
syracusa,4
wealth,4
sons,4
burden,4
bought,4
alas,4
longer,4
means,4
gazing,4
earth,4
making,4
heard,4
sad,4
full,4
after,4
trust,4
sleep,4
dull,4
business,4
city,4
thing,4
returnd,4
rather,4
knave,4
sconce,4
shoulders,4
between,4
haste,4
theyll,4
souls,4
fish,4
quiet,4
cry,4
wouldst,4
right,4
understand,4
spake,4
spurn,4
beauty,4
hard,4
found,4
wrongs,4
lets,4
alone,4
best,4
whats,4
received,4
fool,4
common,4
ever,4
something,4
denied,4
plain,4
father,4
recover,4
sound,4
ones,4
soft,4
possessd,4
blood,4
talk,4
changed,4
deliver,4
knows,4
scorn,4
gate,4
sirrah,4
creature,4
porter,4
heaven,4
show,4
feast,4
credit,4
faith,4
knock,4
offer,4
housed,4
wench,4
turn,4
wonder,4
lay,4
truth,4
hip,4
receive,4
thereof,4
band,4
sergeant,4
adam,4
rest,4
fire,4
thence,4
stuff,4
errors,3
play,3
fall,3
woes,3
laws,3
born,3
comfort,3
nature,3
vile,3
often,3
drew,3
herself,3
almost,3
became,3
inn,3
attend,3
deep,3
heavens,3
grant,3
weeping,3
fashion,3
children,3
gather,3
off,3
mighty,3
borne,3
fortune,3
course,3
extremity,3
try,3
host,3
dinnertime,3
indeed,3
melancholy,3
certain,3
oclock,3
wander,3
water,3
unhappy,3
clock,3
hot,3
broke,3
kept,3
darest,3
sit,3
post,3
methinks,3
messenger,3
season,3
phoenix,3
stands,3
hadst,3
heels,3
witches,3
sin,3
prove,3
serve,3
fowls,3
makes,3
knowst,3
ear,3
scarce,3
coming,3
seems,3
service,3
discourse,3
state,3
touch,3
public,3
laid,3
half,3
foolish,3
grows,3
yes,3
mend,3
yonder,3
ah,3
breaking,3
skin,3
flesh,3
want,3
dream,3
until,3
servants,3
spite,3
finger,3
hell,3
excuse,3
shop,3
suffer,3
conjure,3
wenches,3
open,3
office,3
minion,3
youll,3
blow,3
behind,3
reputation,3
unknown,3
doubt,3
strong,3
possession,3
presence,3
teach,3
evil,3
conceit,3
labour,3
dote,3
oer,3
beast,3
fat,3
marriage,3
swore,3
neck,3
witch,3
presently,3
tonight,3
fly,3
times,3
satisfaction,3
while,3
gentleman,3
enough,3
bail,3
matter,3
desk,3
tempt,3
honest,3
jealous,3
cries,3
fiend,3
rough,3
rested,3
owes,3
satan,3
near,3
denies,3
